epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6839,1.45748,3.91392,1.4262,0.0132,0.57218,0.05697,0.03381,1.29765,3.49407,1.28358,0.000329787,0.000329787,0.0673511
2,31.9731,1.37153,3.19933,1.36705,0.43292,0.25424,0.26365,0.15996,1.378,2.41901,1.34166,0.000662959,0.000662959,0.0343509
3,44.6557,1.37845,2.51078,1.3789,0.53712,0.46614,0.47631,0.28752,1.45378,1.98475,1.43392,0.000995481,0.000995481,0.00135009
4,57.4464,1.36344,2.09171,1.3654,0.63943,0.55651,0.59325,0.3646,1.39021,1.63782,1.36028,0.000997803,0.000997803,0.000997803
5,71.1413,1.3376,1.93507,1.34195,0.67711,0.53722,0.59459,0.36703,1.39468,1.63224,1.36385,0.000996097,0.000996097,0.000996097
6,85.1092,1.31381,1.83277,1.32191,0.65906,0.56233,0.6118,0.3813,1.3787,1.57158,1.33583,0.000993906,0.000993906,0.000993906
7,98.6111,1.30941,1.79425,1.3128,0.68386,0.57903,0.63777,0.39584,1.39209,1.50505,1.34797,0.000991232,0.000991232,0.000991232
8,112.593,1.28789,1.71284,1.30135,0.68493,0.58147,0.63614,0.39957,1.39325,1.50847,1.34451,0.000988079,0.000988079,0.000988079
9,126.793,1.26506,1.69476,1.28795,0.67545,0.59463,0.64627,0.40233,1.38416,1.46292,1.343,0.000984449,0.000984449,0.000984449
10,140.463,1.26737,1.65325,1.28347,0.66655,0.58507,0.63122,0.39478,1.39172,1.49141,1.34472,0.000980345,0.000980345,0.000980345
11,154.15,1.25572,1.62834,1.28251,0.69637,0.58206,0.63463,0.39763,1.3924,1.51285,1.3464,0.000975773,0.000975773,0.000975773
12,167.559,1.24402,1.61936,1.27343,0.68994,0.58027,0.64487,0.40217,1.37357,1.45479,1.32936,0.000970736,0.000970736,0.000970736
13,181.086,1.22533,1.56809,1.26058,0.69742,0.5948,0.65471,0.40275,1.38989,1.45504,1.34756,0.000965239,0.000965239,0.000965239
14,194.871,1.21146,1.54677,1.25071,0.69568,0.57911,0.63979,0.39794,1.38424,1.49966,1.34846,0.000959289,0.000959289,0.000959289
15,208.378,1.21156,1.51779,1.25041,0.67733,0.57987,0.64,0.39135,1.39246,1.4785,1.35281,0.000952889,0.000952889,0.000952889
16,221.964,1.21387,1.5066,1.24997,0.70143,0.59725,0.65701,0.41339,1.37369,1.43248,1.33914,0.000946048,0.000946048,0.000946048
17,235.387,1.20856,1.50444,1.25212,0.69501,0.59551,0.65132,0.40781,1.38993,1.43744,1.34446,0.000938772,0.000938772,0.000938772
18,248.06,1.19661,1.46289,1.24383,0.72947,0.58302,0.65915,0.41576,1.38081,1.43853,1.34225,0.000931067,0.000931067,0.000931067
19,261.329,1.18185,1.4565,1.23452,0.69767,0.602,0.65911,0.41224,1.37025,1.37993,1.32592,0.000922942,0.000922942,0.000922942
20,274.742,1.17877,1.43266,1.23124,0.70922,0.59257,0.65937,0.41294,1.38639,1.39914,1.34755,0.000914405,0.000914405,0.000914405
21,288.122,1.18717,1.42703,1.23615,0.71193,0.60715,0.66641,0.41711,1.37147,1.37904,1.32733,0.000905463,0.000905463,0.000905463
22,301.641,1.16462,1.40192,1.22214,0.7124,0.60714,0.67002,0.41467,1.3794,1.3793,1.33558,0.000896127,0.000896127,0.000896127
23,315.657,1.16279,1.39333,1.22194,0.69662,0.61184,0.66082,0.41001,1.37039,1.37475,1.33454,0.000886404,0.000886404,0.000886404
24,329.306,1.15746,1.36997,1.22088,0.71631,0.60307,0.66386,0.41182,1.37895,1.36532,1.32849,0.000876305,0.000876305,0.000876305
25,343.095,1.15422,1.35005,1.2111,0.70664,0.60106,0.65493,0.40445,1.3877,1.3997,1.34404,0.000865839,0.000865839,0.000865839
26,356.388,1.15891,1.35651,1.2178,0.72762,0.60275,0.66535,0.41406,1.3795,1.36929,1.34011,0.000855018,0.000855018,0.000855018
27,369.946,1.13237,1.33364,1.20591,0.69295,0.62681,0.67263,0.41789,1.38794,1.342,1.33678,0.000843851,0.000843851,0.000843851
28,382.462,1.13868,1.31741,1.20264,0.69529,0.60207,0.65923,0.4063,1.40083,1.38571,1.35569,0.000832349,0.000832349,0.000832349
29,395.306,1.12709,1.31371,1.20047,0.69268,0.58365,0.64513,0.39913,1.38791,1.41,1.34451,0.000820525,0.000820525,0.000820525
30,408.287,1.12278,1.30963,1.19743,0.71179,0.6014,0.66842,0.41408,1.38389,1.35753,1.33958,0.000808389,0.000808389,0.000808389
31,421.206,1.11918,1.29053,1.19705,0.73073,0.59429,0.66775,0.41376,1.3803,1.33031,1.34161,0.000795954,0.000795954,0.000795954
32,434.054,1.11801,1.27221,1.19431,0.72305,0.60665,0.67371,0.4213,1.37571,1.33462,1.34013,0.000783231,0.000783231,0.000783231
33,446.083,1.10054,1.25528,1.18336,0.73422,0.60378,0.66744,0.41215,1.40233,1.34735,1.35355,0.000770234,0.000770234,0.000770234
34,459.78,1.10772,1.25807,1.18354,0.70668,0.6129,0.66386,0.41188,1.37029,1.32812,1.32848,0.000756976,0.000756976,0.000756976
35,472.998,1.10857,1.25169,1.18718,0.7137,0.59569,0.65807,0.40957,1.38992,1.34446,1.34125,0.000743468,0.000743468,0.000743468
36,485.653,1.10299,1.24567,1.18829,0.72479,0.61336,0.67446,0.4189,1.38886,1.33904,1.34987,0.000729725,0.000729725,0.000729725
37,498.495,1.09065,1.22583,1.1727,0.73124,0.5923,0.66239,0.41067,1.3913,1.34694,1.34059,0.000715761,0.000715761,0.000715761
38,510.913,1.08684,1.2313,1.17864,0.73037,0.60101,0.67759,0.41819,1.38062,1.3171,1.33665,0.000701588,0.000701588,0.000701588
39,524.105,1.08453,1.2064,1.16752,0.73698,0.61328,0.68484,0.42852,1.37215,1.29654,1.33414,0.000687222,0.000687222,0.000687222
40,537.504,1.08085,1.20989,1.17035,0.71235,0.6192,0.67433,0.41753,1.39108,1.34534,1.35382,0.000672675,0.000672675,0.000672675
41,550.459,1.0788,1.19905,1.16721,0.71993,0.62137,0.67881,0.41883,1.405,1.31957,1.35996,0.000657963,0.000657963,0.000657963
42,563.241,1.08417,1.19021,1.17216,0.73572,0.60404,0.67474,0.41789,1.40545,1.34541,1.36404,0.000643101,0.000643101,0.000643101
43,576.342,1.0607,1.16728,1.15627,0.72651,0.62285,0.6842,0.42632,1.37907,1.31557,1.34084,0.000628101,0.000628101,0.000628101
44,589.405,1.06503,1.17163,1.15827,0.73628,0.60576,0.67659,0.42,1.39915,1.31705,1.35178,0.000612981,0.000612981,0.000612981
45,602.135,1.06403,1.17193,1.16319,0.72003,0.6106,0.67899,0.42132,1.39306,1.33038,1.3507,0.000597754,0.000597754,0.000597754
46,615.115,1.06075,1.16567,1.15721,0.72887,0.60477,0.67499,0.41971,1.38761,1.31828,1.34469,0.000582435,0.000582435,0.000582435
47,627.909,1.05338,1.15175,1.15362,0.7289,0.61452,0.68057,0.42619,1.38612,1.3081,1.34498,0.00056704,0.00056704,0.00056704
48,641.197,1.05873,1.15405,1.15392,0.71182,0.61874,0.67498,0.41826,1.39447,1.2866,1.35043,0.000551584,0.000551584,0.000551584
49,654.388,1.04743,1.13964,1.1493,0.73036,0.60588,0.68007,0.42195,1.39891,1.32191,1.35626,0.000536081,0.000536081,0.000536081
50,667.093,1.05053,1.13461,1.15216,0.74134,0.6089,0.681,0.42474,1.38755,1.303,1.34596,0.000520548,0.000520548,0.000520548
51,679.714,1.03798,1.12728,1.1461,0.71469,0.61956,0.67636,0.42158,1.40468,1.31587,1.35841,0.000505,0.000505,0.000505
52,692.067,1.04188,1.12486,1.14876,0.73001,0.60695,0.68087,0.42284,1.39185,1.30183,1.34842,0.000489452,0.000489452,0.000489452
53,704.213,1.02519,1.10107,1.1374,0.72757,0.61283,0.67815,0.42022,1.39577,1.31147,1.34712,0.000473919,0.000473919,0.000473919
54,716.84,1.03083,1.10747,1.14101,0.74598,0.59957,0.67693,0.41792,1.40264,1.33556,1.36496,0.000458416,0.000458416,0.000458416
55,729.4,1.01686,1.09345,1.13355,0.72958,0.61036,0.67898,0.41847,1.41288,1.31246,1.36646,0.00044296,0.00044296,0.00044296
56,740.503,1.02535,1.09817,1.13714,0.72825,0.60696,0.67662,0.41794,1.40432,1.32177,1.36005,0.000427565,0.000427565,0.000427565
57,752.935,1.02434,1.09709,1.13582,0.70671,0.63058,0.68092,0.42092,1.40631,1.30938,1.36853,0.000412246,0.000412246,0.000412246
58,766.487,1.01171,1.08016,1.13099,0.73178,0.6028,0.67849,0.42284,1.39891,1.32195,1.36057,0.000397019,0.000397019,0.000397019
59,779.612,1.01202,1.07467,1.12805,0.74875,0.59587,0.68017,0.4198,1.406,1.30715,1.3595,0.000381899,0.000381899,0.000381899
60,791.945,1.02075,1.07688,1.1305,0.71135,0.62374,0.67914,0.42296,1.40491,1.29339,1.36014,0.000366899,0.000366899,0.000366899
61,804.133,1.00917,1.07689,1.13218,0.72444,0.60909,0.68075,0.42281,1.4026,1.31828,1.36479,0.000352037,0.000352037,0.000352037
62,816.099,1.01032,1.07197,1.12888,0.75244,0.60126,0.68182,0.42419,1.40716,1.29676,1.36396,0.000337325,0.000337325,0.000337325
63,828.663,1.00769,1.0738,1.12682,0.72787,0.61283,0.6781,0.42088,1.41819,1.30583,1.3681,0.000322778,0.000322778,0.000322778
64,842.113,1.00616,1.06951,1.12883,0.72611,0.61641,0.68341,0.42642,1.41252,1.2871,1.36605,0.000308412,0.000308412,0.000308412
65,855.065,0.98898,1.06169,1.12093,0.72919,0.6168,0.68611,0.42646,1.40501,1.2927,1.35262,0.000294239,0.000294239,0.000294239
66,867.04,0.99827,1.05815,1.12236,0.73375,0.60597,0.6814,0.42218,1.40784,1.31765,1.35909,0.000280275,0.000280275,0.000280275
67,878.99,0.99423,1.04488,1.1202,0.75534,0.60109,0.68236,0.42384,1.41176,1.30524,1.36737,0.000266532,0.000266532,0.000266532
68,891.547,0.98565,1.04162,1.1174,0.72582,0.61608,0.68203,0.4243,1.40812,1.30531,1.36129,0.000253024,0.000253024,0.000253024
69,904.52,0.98809,1.04048,1.11564,0.72465,0.62696,0.68646,0.42712,1.40456,1.29102,1.36153,0.000239766,0.000239766,0.000239766
