epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.048,1.26558,1.06354,1.3643,0.79114,0.7317,0.80754,0.53842,1.22165,0.90455,1.30363,0.0001,0.0001,0.0001
2,278.093,1.20974,0.9849,1.32525,0.80362,0.73908,0.81797,0.54911,1.19789,0.88113,1.28723,9.98474e-05,9.98474e-05,9.98474e-05
3,414.262,1.18878,0.95567,1.30856,0.8047,0.74817,0.82248,0.55524,1.18735,0.86836,1.28038,9.93906e-05,9.93906e-05,9.93906e-05
4,550.332,1.17781,0.93423,1.30584,0.80098,0.75275,0.82743,0.56243,1.17875,0.85771,1.27476,9.86323e-05,9.86323e-05,9.86323e-05
5,686.274,1.17018,0.92349,1.29599,0.80777,0.7526,0.82974,0.56365,1.17642,0.85643,1.2722,9.75773e-05,9.75773e-05,9.75773e-05
6,823.751,1.15852,0.9202,1.28916,0.80264,0.75505,0.8315,0.56711,1.17114,0.84578,1.26643,9.6232e-05,9.6232e-05,9.6232e-05
7,959.966,1.14249,0.89617,1.27613,0.80446,0.75501,0.83106,0.56894,1.17015,0.84247,1.26501,9.46048e-05,9.46048e-05,9.46048e-05
8,1096.08,1.14031,0.89921,1.27512,0.80701,0.75179,0.8321,0.56974,1.16626,0.83483,1.26129,9.27057e-05,9.27057e-05,9.27057e-05
9,1232.6,1.12632,0.89002,1.26985,0.81322,0.75108,0.83373,0.57178,1.16444,0.83357,1.2632,9.05463e-05,9.05463e-05,9.05463e-05
10,1369.06,1.1227,0.87704,1.26832,0.81599,0.74775,0.83406,0.5715,1.16279,0.82861,1.26202,8.81401e-05,8.81401e-05,8.81401e-05
11,1505.32,1.12794,0.8787,1.26979,0.80072,0.76148,0.83428,0.57253,1.1623,0.82795,1.26277,8.55018e-05,8.55018e-05,8.55018e-05
12,1642.56,1.10966,0.86775,1.25679,0.81351,0.75424,0.8361,0.57442,1.16059,0.82306,1.25966,8.26477e-05,8.26477e-05,8.26477e-05
13,1780.01,1.10979,0.85699,1.25621,0.81383,0.75451,0.83638,0.57575,1.15995,0.82178,1.25861,7.95954e-05,7.95954e-05,7.95954e-05
14,1916.26,1.113,0.85799,1.25577,0.81745,0.75088,0.83619,0.57605,1.16182,0.81998,1.25791,7.63637e-05,7.63637e-05,7.63637e-05
15,2052.54,1.1092,0.85794,1.25362,0.80393,0.76135,0.83742,0.57622,1.16217,0.81936,1.25807,7.29725e-05,7.29725e-05,7.29725e-05
16,2189.25,1.0983,0.84626,1.24965,0.8143,0.75234,0.8371,0.57605,1.15876,0.81453,1.25697,6.94428e-05,6.94428e-05,6.94428e-05
17,2327.44,1.09002,0.84434,1.24387,0.81479,0.75679,0.83809,0.5775,1.1581,0.81359,1.25798,6.57963e-05,6.57963e-05,6.57963e-05
18,2464,1.09199,0.83987,1.24603,0.81785,0.75439,0.83927,0.57994,1.15467,0.81268,1.25552,6.20555e-05,6.20555e-05,6.20555e-05
19,2600.28,1.08394,0.83397,1.24092,0.81553,0.75665,0.83916,0.57739,1.15724,0.811,1.25521,5.82435e-05,5.82435e-05,5.82435e-05
20,2736.54,1.08975,0.83294,1.24002,0.81244,0.75821,0.83952,0.57895,1.15648,0.80969,1.25494,5.43837e-05,5.43837e-05,5.43837e-05
21,2873.74,1.08962,0.83087,1.23795,0.8121,0.76077,0.84076,0.58043,1.15503,0.80902,1.25499,5.05e-05,5.05e-05,5.05e-05
22,3010.98,1.07675,0.82597,1.23577,0.81309,0.76015,0.8406,0.57879,1.1554,0.80815,1.25499,4.66163e-05,4.66163e-05,4.66163e-05
23,3147.19,1.08269,0.8336,1.24271,0.82155,0.75275,0.83988,0.58008,1.15502,0.80965,1.25489,4.27565e-05,4.27565e-05,4.27565e-05
