epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.825,1.2861,1.12161,1.3699,0.80007,0.71243,0.7978,0.525,1.23241,0.91998,1.30026,0.0001,0.0001,0.0001
2,262.022,1.22324,1.01261,1.32763,0.80201,0.71963,0.81125,0.54147,1.2041,0.89074,1.28271,9.99502e-05,9.99502e-05,9.99502e-05
3,392.337,1.19515,0.97779,1.30881,0.81917,0.72461,0.81778,0.54951,1.18946,0.87336,1.27364,9.98007e-05,9.98007e-05,9.98007e-05
4,522.466,1.18442,0.9548,1.30414,0.80456,0.73974,0.82256,0.55498,1.18194,0.86382,1.26716,9.9552e-05,9.9552e-05,9.9552e-05
5,652.507,1.17572,0.93633,1.29319,0.79465,0.75155,0.82485,0.55675,1.17896,0.8554,1.26319,9.92045e-05,9.92045e-05,9.92045e-05
6,782.684,1.15949,0.93207,1.28375,0.81009,0.74796,0.82825,0.55974,1.17441,0.84467,1.25727,9.87589e-05,9.87589e-05,9.87589e-05
7,912.604,1.14461,0.90524,1.26979,0.81894,0.73577,0.83055,0.56272,1.17213,0.84064,1.25434,9.82162e-05,9.82162e-05,9.82162e-05
8,1042.61,1.1393,0.90335,1.26918,0.8083,0.74847,0.83171,0.56589,1.16989,0.83428,1.25562,9.75773e-05,9.75773e-05,9.75773e-05
9,1172.69,1.1273,0.89409,1.26642,0.80995,0.75119,0.83314,0.56611,1.16777,0.83097,1.25476,9.68436e-05,9.68436e-05,9.68436e-05
10,1302.6,1.12005,0.87498,1.25906,0.8079,0.75265,0.83444,0.56929,1.16158,0.82675,1.24743,9.60166e-05,9.60166e-05,9.60166e-05
11,1432.51,1.1245,0.87541,1.26011,0.80071,0.75647,0.83321,0.56914,1.16315,0.8226,1.24853,9.5098e-05,9.5098e-05,9.5098e-05
12,1562.44,1.10768,0.87003,1.24825,0.81263,0.75044,0.83545,0.57115,1.16091,0.81658,1.2467,9.40895e-05,9.40895e-05,9.40895e-05
13,1692.44,1.10419,0.854,1.2462,0.80722,0.75655,0.8364,0.573,1.15836,0.8161,1.24748,9.29932e-05,9.29932e-05,9.29932e-05
14,1822.39,1.11141,0.85565,1.24905,0.81302,0.75396,0.83814,0.57329,1.15763,0.81365,1.24618,9.18114e-05,9.18114e-05,9.18114e-05
15,1952.39,1.10688,0.85108,1.24656,0.81066,0.75028,0.83594,0.57208,1.15929,0.81212,1.24472,9.05463e-05,9.05463e-05,9.05463e-05
16,2082.32,1.09512,0.84487,1.2405,0.80854,0.75841,0.83726,0.57542,1.15537,0.80744,1.24283,8.92007e-05,8.92007e-05,8.92007e-05
17,2212.37,1.08427,0.83909,1.23262,0.79625,0.76734,0.8357,0.5735,1.15721,0.81013,1.24314,8.7777e-05,8.7777e-05,8.7777e-05
18,2342.32,1.08677,0.82978,1.2341,0.8112,0.7584,0.83751,0.57667,1.15364,0.80435,1.24204,8.62783e-05,8.62783e-05,8.62783e-05
19,2472.27,1.0773,0.82276,1.23029,0.81688,0.75248,0.83928,0.57515,1.15671,0.80409,1.24436,8.47076e-05,8.47076e-05,8.47076e-05
20,2602.18,1.08505,0.82191,1.23227,0.7932,0.7712,0.84006,0.57696,1.15469,0.80114,1.2428,8.3068e-05,8.3068e-05,8.3068e-05
21,2732.2,1.08098,0.81849,1.22641,0.81097,0.7594,0.84137,0.57799,1.15332,0.79773,1.24326,8.13627e-05,8.13627e-05,8.13627e-05
22,2862.25,1.06304,0.81032,1.22211,0.8111,0.75909,0.84022,0.57821,1.15432,0.79996,1.24339,7.95954e-05,7.95954e-05,7.95954e-05
23,2992.28,1.074,0.819,1.23108,0.79531,0.77184,0.83983,0.57813,1.15352,0.80216,1.24213,7.77694e-05,7.77694e-05,7.77694e-05
24,3122.28,1.06217,0.80104,1.21359,0.8098,0.75726,0.83983,0.57867,1.15454,0.79988,1.2436,7.58885e-05,7.58885e-05,7.58885e-05
25,3252.39,1.06479,0.796,1.21924,0.80647,0.76722,0.84052,0.57862,1.15294,0.79771,1.2448,7.39565e-05,7.39565e-05,7.39565e-05
26,3382.5,1.06006,0.79645,1.21446,0.80291,0.77152,0.84168,0.57956,1.15508,0.79579,1.24476,7.19772e-05,7.19772e-05,7.19772e-05
27,3512.53,1.05301,0.78623,1.21577,0.80333,0.77172,0.84179,0.57986,1.15323,0.79403,1.24519,6.99547e-05,6.99547e-05,6.99547e-05
28,3642.5,1.04869,0.78341,1.21026,0.81486,0.76281,0.84266,0.57976,1.15363,0.79289,1.24565,6.78931e-05,6.78931e-05,6.78931e-05
29,3772.46,1.06043,0.78157,1.20903,0.81839,0.75853,0.84272,0.58118,1.15389,0.78951,1.24238,6.57963e-05,6.57963e-05,6.57963e-05
30,3902.62,1.05188,0.78173,1.21128,0.80727,0.76926,0.84365,0.58183,1.15376,0.79033,1.24326,6.36688e-05,6.36688e-05,6.36688e-05
31,4032.76,1.03607,0.77518,1.20055,0.80313,0.77761,0.84415,0.58179,1.15413,0.78784,1.24428,6.15148e-05,6.15148e-05,6.15148e-05
32,4162.72,1.0465,0.77739,1.20917,0.80009,0.77553,0.84367,0.58257,1.15261,0.78588,1.24222,5.93386e-05,5.93386e-05,5.93386e-05
33,4292.66,1.04844,0.78093,1.21182,0.80828,0.76741,0.84337,0.582,1.15405,0.78793,1.24315,5.71445e-05,5.71445e-05,5.71445e-05
34,4422.66,1.0318,0.76862,1.19943,0.81117,0.76733,0.84275,0.58175,1.15321,0.78817,1.2428,5.49371e-05,5.49371e-05,5.49371e-05
35,4552.75,1.03698,0.76677,1.19944,0.81048,0.76766,0.84266,0.58148,1.15547,0.7884,1.24324,5.27208e-05,5.27208e-05,5.27208e-05
36,4682.7,1.02993,0.76596,1.19684,0.80439,0.77336,0.84305,0.58247,1.15201,0.78694,1.24161,5.05e-05,5.05e-05,5.05e-05
37,4812.62,1.03941,0.76438,1.19819,0.80922,0.76931,0.8438,0.58166,1.15327,0.78583,1.24272,4.82792e-05,4.82792e-05,4.82792e-05
38,4942.57,1.02422,0.75722,1.19293,0.82423,0.7553,0.84248,0.58171,1.15217,0.78632,1.24264,4.60629e-05,4.60629e-05,4.60629e-05
39,5072.58,1.02291,0.75623,1.19275,0.81913,0.75861,0.84263,0.58084,1.15241,0.78737,1.24312,4.38555e-05,4.38555e-05,4.38555e-05
40,5202.48,1.02347,0.74959,1.19502,0.81471,0.76298,0.84226,0.58113,1.15337,0.78566,1.24261,4.16614e-05,4.16614e-05,4.16614e-05
41,5332.69,1.02514,0.75247,1.19482,0.81336,0.7639,0.84241,0.58075,1.1548,0.78422,1.24287,3.94852e-05,3.94852e-05,3.94852e-05
42,5464.29,1.02948,0.7585,1.19648,0.80864,0.76479,0.84247,0.58107,1.15557,0.78596,1.24297,3.73312e-05,3.73312e-05,3.73312e-05
43,5594.93,1.02102,0.75138,1.19532,0.80879,0.77188,0.84312,0.58153,1.1561,0.78429,1.24417,3.52037e-05,3.52037e-05,3.52037e-05
44,5726.28,1.0231,0.7553,1.19219,0.80175,0.77411,0.84287,0.58221,1.15538,0.78469,1.24372,3.31069e-05,3.31069e-05,3.31069e-05
45,5858.75,1.02583,0.74672,1.19362,0.80458,0.7705,0.84263,0.58192,1.1558,0.78356,1.24439,3.10453e-05,3.10453e-05,3.10453e-05
46,5990.19,1.01899,0.748,1.18993,0.79871,0.77614,0.84257,0.58095,1.15717,0.78382,1.24492,2.90228e-05,2.90228e-05,2.90228e-05
47,6122.51,1.01635,0.73899,1.18555,0.79368,0.78687,0.8439,0.58268,1.15474,0.78215,1.24389,2.70435e-05,2.70435e-05,2.70435e-05
