epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.391,1.63095,2.91005,1.61632,0.72693,0.59936,0.67247,0.40853,1.38747,1.29355,1.41975,0.000329787,0.000329787,0.0673511
2,314.106,1.40359,1.4426,1.45453,0.77614,0.70808,0.77374,0.50155,1.27822,1.01464,1.34344,0.000661322,0.000661322,0.0343493
3,467.677,1.33641,1.2572,1.4171,0.77731,0.73012,0.79864,0.52527,1.25121,0.93958,1.32022,0.000985675,0.000985675,0.00134029
4,621.223,1.30614,1.17803,1.39175,0.78707,0.71805,0.79349,0.51939,1.23948,0.93678,1.31168,0.000975773,0.000975773,0.000975773
5,774.823,1.28516,1.12987,1.37491,0.79487,0.73888,0.81058,0.53667,1.22989,0.90825,1.30415,0.000957205,0.000957205,0.000957205
6,928.378,1.26528,1.08499,1.36298,0.77994,0.74503,0.80898,0.53434,1.23043,0.91149,1.30363,0.000933683,0.000933683,0.000933683
7,1059.18,1.27072,1.08866,1.36779,0.79649,0.74155,0.81579,0.54101,1.21769,0.89782,1.29463,0.000905463,0.000905463,0.000905463
8,1185.36,1.2624,1.06406,1.35999,0.78865,0.7318,0.81132,0.53879,1.21365,0.90108,1.29028,0.000872857,0.000872857,0.000872857
9,1311.47,1.2482,1.04377,1.35458,0.79586,0.74012,0.81724,0.54476,1.21149,0.89521,1.28843,0.00083622,0.00083622,0.00083622
10,1437.63,1.25753,1.04598,1.35614,0.78779,0.73631,0.81622,0.54281,1.21274,0.89348,1.29158,0.000795954,0.000795954,0.000795954
11,1563.69,1.24091,1.03306,1.34782,0.80298,0.74203,0.81752,0.54403,1.21224,0.88812,1.29019,0.0007525,0.0007525,0.0007525
12,1689.69,1.23947,1.03871,1.35149,0.80739,0.7329,0.81672,0.54496,1.20887,0.88771,1.28863,0.000706335,0.000706335,0.000706335
13,1815.83,1.22723,1.01374,1.34085,0.80541,0.73574,0.81877,0.5443,1.20658,0.88735,1.28697,0.000657963,0.000657963,0.000657963
14,1941.8,1.21816,1.00198,1.33213,0.81054,0.73203,0.82009,0.54662,1.20056,0.88141,1.28374,0.000607916,0.000607916,0.000607916
15,2067.86,1.21937,0.99879,1.33257,0.78597,0.74904,0.822,0.54694,1.20425,0.87849,1.28482,0.000556742,0.000556742,0.000556742
16,2193.99,1.22316,1.00178,1.33455,0.8002,0.73928,0.81879,0.54788,1.20042,0.87819,1.28251,0.000505,0.000505,0.000505
17,2320.23,1.22064,1.00973,1.33727,0.80125,0.74165,0.8196,0.54767,1.19857,0.88021,1.28138,0.000453258,0.000453258,0.000453258
18,2446.35,1.20872,0.98898,1.33015,0.78629,0.74807,0.81609,0.54822,1.20038,0.87843,1.28094,0.000402084,0.000402084,0.000402084
19,2572.44,1.20003,0.98295,1.32794,0.79989,0.74332,0.81676,0.54798,1.19546,0.87332,1.27891,0.000352037,0.000352037,0.000352037
20,2698.44,1.19082,0.97122,1.32215,0.80767,0.731,0.82166,0.55354,1.1956,0.87406,1.2796,0.000303665,0.000303665,0.000303665
21,2824.59,1.20498,0.97471,1.32975,0.81621,0.73604,0.82335,0.55146,1.19698,0.86871,1.27829,0.0002575,0.0002575,0.0002575
22,2950.59,1.1906,0.95856,1.3197,0.81084,0.73646,0.82211,0.54912,1.19417,0.86566,1.27812,0.000214046,0.000214046,0.000214046
23,3076.52,1.19268,0.96421,1.32394,0.79942,0.74022,0.81786,0.54947,1.19233,0.8696,1.27612,0.00017378,0.00017378,0.00017378
24,3202.64,1.18555,0.95592,1.32152,0.80075,0.74377,0.81819,0.55069,1.19337,0.86454,1.27757,0.000137143,0.000137143,0.000137143
25,3328.56,1.18835,0.95195,1.31732,0.8019,0.74156,0.81825,0.5512,1.19212,0.86214,1.27662,0.000104537,0.000104537,0.000104537
26,3454.6,1.20538,0.95239,1.32653,0.80261,0.74244,0.82006,0.55125,1.19129,0.86091,1.27539,7.63174e-05,7.63174e-05,7.63174e-05
27,3580.65,1.1845,0.94912,1.32111,0.80035,0.73978,0.81881,0.55088,1.18976,0.86096,1.27469,5.2795e-05,5.2795e-05,5.2795e-05
28,3706.69,1.185,0.94386,1.31687,0.80217,0.74091,0.82011,0.55092,1.19028,0.86168,1.27582,3.4227e-05,3.4227e-05,3.4227e-05
29,3832.59,1.18445,0.948,1.31663,0.80247,0.73997,0.82147,0.55037,1.18984,0.85904,1.27525,2.08169e-05,2.08169e-05,2.08169e-05
30,3958.68,1.17908,0.95124,1.31949,0.80465,0.74078,0.81988,0.54999,1.19023,0.85922,1.27511,1.27117e-05,1.27117e-05,1.27117e-05
