epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.035,2.31788,4.35217,2.20146,0.04045,0.27405,0.05368,0.03196,1.65556,3.73575,1.64933,0.00326241,0.00326241,0.0706383
2,210.751,1.67059,2.96766,1.6366,0.61959,0.20641,0.31402,0.18522,1.60346,2.82144,1.56236,0.00655555,0.00655555,0.0405981
3,309.14,1.64948,2.40202,1.59997,0.47641,0.41804,0.4127,0.23407,1.62826,2.03041,1.64963,0.00968853,0.00968853,0.0103977
4,408.019,1.62698,2.23815,1.58059,0.53688,0.44748,0.45859,0.26451,1.60656,1.9039,1.64678,0.00946048,0.00946048,0.00946048
5,506.11,1.59737,2.12732,1.5653,0.57127,0.45079,0.4825,0.28191,1.60133,1.79165,1.61698,0.00905463,0.00905463,0.00905463
6,604.849,1.56412,1.99584,1.53425,0.63903,0.4807,0.53428,0.31609,1.54613,1.66193,1.56014,0.00855018,0.00855018,0.00855018
7,702.971,1.5072,1.79381,1.4847,0.67383,0.57305,0.62596,0.38554,1.48111,1.44165,1.47258,0.00795954,0.00795954,0.00795954
8,801.142,1.45431,1.62079,1.43699,0.69646,0.58644,0.65512,0.40905,1.42825,1.37522,1.42161,0.00729725,0.00729725,0.00729725
9,899.331,1.43305,1.58354,1.42554,0.68449,0.59578,0.64863,0.40072,1.42858,1.38704,1.42814,0.00657963,0.00657963,0.00657963
10,998.061,1.4189,1.54939,1.41347,0.69568,0.59005,0.65811,0.41434,1.40819,1.35458,1.40443,0.00582435,0.00582435,0.00582435
11,1096.39,1.40872,1.52252,1.40394,0.7128,0.60028,0.66515,0.41781,1.41349,1.33327,1.40246,0.00505,0.00505,0.00505
12,1194.89,1.39534,1.5026,1.39857,0.69791,0.60088,0.66416,0.41704,1.39861,1.31207,1.39212,0.00427565,0.00427565,0.00427565
13,1293.21,1.37846,1.47097,1.38757,0.72339,0.57952,0.6688,0.42222,1.39205,1.30474,1.38381,0.00352037,0.00352037,0.00352037
14,1391.83,1.37015,1.4624,1.37966,0.72945,0.602,0.68035,0.43026,1.40119,1.30534,1.38435,0.00280275,0.00280275,0.00280275
15,1491.06,1.36153,1.43463,1.37979,0.72806,0.59485,0.676,0.42777,1.38793,1.27897,1.38935,0.00214046,0.00214046,0.00214046
16,1588.92,1.35976,1.44693,1.37572,0.72771,0.58998,0.67613,0.43234,1.37961,1.27797,1.37947,0.00154982,0.00154982,0.00154982
17,1686.96,1.37242,1.43464,1.38212,0.71962,0.60962,0.68229,0.4347,1.38096,1.26494,1.37268,0.00104537,0.00104537,0.00104537
18,1785.56,1.35098,1.41564,1.3717,0.74305,0.5978,0.6866,0.43782,1.37054,1.25418,1.36891,0.000639518,0.000639518,0.000639518
19,1883.49,1.33821,1.40872,1.37167,0.74325,0.59889,0.68404,0.43753,1.36703,1.25068,1.36334,0.00034227,0.00034227,0.00034227
20,1981.42,1.32989,1.38946,1.36113,0.74493,0.59813,0.68605,0.43817,1.36423,1.2461,1.36436,0.000160943,0.000160943,0.000160943
