epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.047,1.44091,1.87846,1.42513,0.68202,0.56202,0.62551,0.39114,1.3939,1.43057,1.36886,0.0001,0.0001,0.0001
2,248.483,1.37539,1.6945,1.36974,0.70021,0.57832,0.64709,0.4045,1.36884,1.3821,1.34836,9.99502e-05,9.99502e-05,9.99502e-05
3,371.966,1.34803,1.63578,1.34579,0.71325,0.58593,0.66119,0.41631,1.3491,1.34977,1.33398,9.98007e-05,9.98007e-05,9.98007e-05
4,495.488,1.33364,1.61638,1.34281,0.69522,0.60972,0.66835,0.42267,1.34508,1.3312,1.3284,9.9552e-05,9.9552e-05,9.9552e-05
5,618.885,1.32245,1.59357,1.33152,0.70296,0.61321,0.67332,0.42844,1.33925,1.31818,1.32518,9.92045e-05,9.92045e-05,9.92045e-05
6,742.226,1.31752,1.5804,1.32895,0.69632,0.62325,0.67704,0.43164,1.33934,1.30764,1.32296,9.87589e-05,9.87589e-05,9.87589e-05
7,865.771,1.30339,1.54785,1.31617,0.69438,0.62991,0.68212,0.43583,1.3333,1.30131,1.31719,9.82162e-05,9.82162e-05,9.82162e-05
8,989.06,1.29712,1.54007,1.31312,0.70756,0.61913,0.6834,0.43601,1.33055,1.29593,1.31396,9.75773e-05,9.75773e-05,9.75773e-05
9,1112.41,1.28869,1.53922,1.31133,0.70367,0.62454,0.68896,0.44012,1.33023,1.29277,1.31497,9.68436e-05,9.68436e-05,9.68436e-05
10,1235.83,1.27886,1.52356,1.30446,0.71424,0.6184,0.69148,0.44348,1.32509,1.28212,1.3073,9.60166e-05,9.60166e-05,9.60166e-05
11,1359.23,1.28422,1.51755,1.30774,0.70572,0.6267,0.68901,0.44155,1.32395,1.28381,1.30854,9.5098e-05,9.5098e-05,9.5098e-05
