epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.106,1.27141,1.1292,1.32799,0.57756,0.42067,0.44461,0.22498,1.89855,1.93055,1.82333,0.000164021,0.000164021,0.0673598
2,520.596,1.23888,1.08528,1.31028,0.66692,0.51168,0.55373,0.30824,1.67859,1.55577,1.58987,0.000330562,0.000330562,0.034193
3,782.222,1.24387,1.09076,1.31119,0.67576,0.52502,0.58827,0.32461,1.68371,1.48933,1.58909,0.000496596,0.000496596,0.0010257
4,1044,1.25442,1.09351,1.3102,0.69032,0.50676,0.58444,0.32797,1.65199,1.4677,1.55549,0.000498284,0.000498284,0.000498284
5,1305.41,1.2479,1.09045,1.30873,0.66038,0.52964,0.57953,0.31962,1.69738,1.50008,1.59059,0.000496953,0.000496953,0.000496953
6,1566.81,1.25046,1.07943,1.31011,0.6831,0.50338,0.56846,0.30255,1.79659,1.61787,1.67915,0.000495244,0.000495244,0.000495244
7,1828.56,1.25064,1.0777,1.31591,0.63751,0.53532,0.57105,0.31994,1.65521,1.50537,1.58096,0.000493162,0.000493162,0.000493162
8,2090.09,1.23113,1.06568,1.30415,0.65718,0.50497,0.56422,0.32034,1.64376,1.5226,1.57878,0.000490708,0.000490708,0.000490708
9,2351.56,1.25018,1.08667,1.31428,0.65429,0.53854,0.58076,0.32334,1.71101,1.53192,1.62041,0.000487886,0.000487886,0.000487886
10,2613.13,1.2277,1.0681,1.30219,0.64671,0.51099,0.56255,0.31373,1.68566,1.69854,1.60407,0.000484702,0.000484702,0.000484702
11,2874.64,1.23889,1.09303,1.31458,0.66405,0.51251,0.55756,0.30896,1.67744,1.58436,1.59478,0.00048116,0.00048116,0.00048116
12,3136.05,1.21741,1.04381,1.29065,0.6718,0.52885,0.58983,0.33215,1.66482,1.51808,1.59202,0.000477265,0.000477265,0.000477265
13,3397.44,1.20943,1.03727,1.28837,0.68786,0.49178,0.56052,0.32196,1.69055,1.67278,1.60772,0.000473024,0.000473024,0.000473024
14,3658.97,1.21163,1.03825,1.28337,0.66812,0.49814,0.54759,0.31386,1.63221,1.57727,1.56234,0.000468443,0.000468443,0.000468443
15,3920.5,1.20918,1.04764,1.28889,0.64189,0.51517,0.56314,0.32113,1.62423,1.5802,1.57102,0.000463528,0.000463528,0.000463528
16,4182.13,1.20588,1.01216,1.28389,0.70681,0.51688,0.59187,0.34732,1.5905,1.4608,1.5344,0.000458289,0.000458289,0.000458289
17,4443.64,1.20384,1.0157,1.28003,0.69112,0.50806,0.5807,0.33174,1.63395,1.48243,1.56002,0.000452732,0.000452732,0.000452732
18,4705.31,1.19179,1.01059,1.27997,0.65706,0.52847,0.57053,0.32691,1.61241,1.477,1.54394,0.000446866,0.000446866,0.000446866
19,4966.75,1.1856,1.00327,1.26814,0.64877,0.50143,0.54327,0.30237,1.70501,1.60641,1.62704,0.0004407,0.0004407,0.0004407
20,5228.49,1.1785,0.99015,1.26164,0.68244,0.54445,0.59752,0.34252,1.6098,1.42039,1.53747,0.000434245,0.000434245,0.000434245
21,5490.05,1.18353,0.99524,1.27203,0.66277,0.4994,0.54978,0.31645,1.62506,1.67525,1.57049,0.000427509,0.000427509,0.000427509
22,5752.25,1.17198,0.99516,1.26262,0.67433,0.54366,0.59174,0.33724,1.64899,1.43581,1.58273,0.000420503,0.000420503,0.000420503
23,6014,1.16738,0.97872,1.25887,0.69656,0.53602,0.60178,0.35637,1.58281,1.48252,1.54353,0.000413238,0.000413238,0.000413238
24,6275.47,1.16515,0.97264,1.25568,0.6474,0.54215,0.58364,0.34049,1.60397,1.52687,1.54876,0.000405726,0.000405726,0.000405726
25,6536.99,1.15815,0.96579,1.25033,0.70233,0.54383,0.60397,0.34902,1.61143,1.41346,1.54645,0.000397977,0.000397977,0.000397977
26,6798.46,1.14413,0.93848,1.23661,0.66265,0.54125,0.59139,0.34608,1.58342,1.42689,1.55013,0.000390004,0.000390004,0.000390004
27,7059.97,1.15451,0.96401,1.24573,0.68155,0.54267,0.59879,0.34666,1.58986,1.48099,1.54446,0.000381818,0.000381818,0.000381818
28,7321.35,1.12651,0.9208,1.22272,0.67668,0.55169,0.6042,0.35708,1.59747,1.44337,1.53136,0.000373434,0.000373434,0.000373434
29,7583.27,1.13974,0.95018,1.23917,0.69971,0.54759,0.60874,0.35769,1.5865,1.42474,1.53868,0.000364863,0.000364863,0.000364863
30,7844.48,1.13387,0.9243,1.23836,0.69817,0.52904,0.60058,0.35155,1.58591,1.4499,1.52684,0.000356118,0.000356118,0.000356118
31,8105.5,1.12979,0.92522,1.22726,0.67885,0.55052,0.6075,0.36057,1.5577,1.40336,1.52157,0.000347214,0.000347214,0.000347214
32,8366.37,1.12562,0.90573,1.22708,0.69269,0.56555,0.61887,0.35853,1.55792,1.37311,1.511,0.000338164,0.000338164,0.000338164
33,8627.1,1.11982,0.91231,1.22532,0.71014,0.55641,0.6146,0.35362,1.65331,1.46908,1.57998,0.000328982,0.000328982,0.000328982
34,8887.88,1.11404,0.90674,1.2232,0.66081,0.54695,0.59798,0.35036,1.59492,1.48747,1.55714,0.000319682,0.000319682,0.000319682
35,9149.3,1.11329,0.91117,1.22737,0.72563,0.53735,0.61228,0.36842,1.55818,1.48684,1.51965,0.000310278,0.000310278,0.000310278
36,9410.71,1.10433,0.88254,1.21116,0.70406,0.55106,0.61329,0.36376,1.57167,1.4283,1.54256,0.000300785,0.000300785,0.000300785
37,9671.9,1.09153,0.8714,1.20716,0.6964,0.56101,0.61191,0.35923,1.57706,1.44476,1.52212,0.000291218,0.000291218,0.000291218
38,9932.73,1.09331,0.88312,1.20934,0.71053,0.55496,0.61797,0.36725,1.56857,1.43286,1.51233,0.000281591,0.000281591,0.000281591
39,10193.8,1.09922,0.8918,1.21404,0.71782,0.55134,0.62126,0.36668,1.58433,1.42504,1.53709,0.000271919,0.000271919,0.000271919
40,10455.1,1.09735,0.8806,1.20868,0.71714,0.55176,0.61727,0.3636,1.57207,1.42588,1.54755,0.000262217,0.000262217,0.000262217
41,10716.3,1.07429,0.85304,1.19764,0.72778,0.5427,0.62623,0.37106,1.57206,1.39791,1.53224,0.0002525,0.0002525,0.0002525
42,10977.7,1.0697,0.83917,1.18911,0.68955,0.56038,0.61371,0.36633,1.56072,1.3907,1.5345,0.000242783,0.000242783,0.000242783
43,11238.8,1.06422,0.84127,1.19381,0.74407,0.531,0.61959,0.36732,1.56727,1.4378,1.53521,0.000233081,0.000233081,0.000233081
