epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8517,1.58186,3.72442,1.48498,0.01318,0.69976,0.19198,0.11753,1.34122,3.58507,1.29604,0.000121094,0.000121094,0.000121094
2,61.6612,1.52019,2.36138,1.44357,0.83879,0.20099,0.41735,0.24872,1.46435,2.98868,1.39483,0.000246034,0.000246034,0.000246034
3,89.5582,1.49643,2.03923,1.44195,0.59721,0.35511,0.4343,0.24802,1.56337,2.43126,1.49013,0.000370731,0.000370731,0.000370731
4,117.241,1.50361,2.01419,1.46062,0.50102,0.39914,0.40761,0.2257,1.66403,2.17343,1.58613,0.000495004,0.000495004,0.000495004
5,145.424,1.50956,1.99026,1.46309,0.51378,0.40872,0.4164,0.23075,1.69258,2.04216,1.65925,0.000618669,0.000618669,0.000618669
6,173.369,1.53157,1.97655,1.48674,0.51922,0.37811,0.39655,0.21535,1.66934,2.07958,1.61779,0.000621191,0.000621191,0.000621191
7,201.334,1.52542,1.90201,1.47866,0.55764,0.39332,0.42285,0.22785,1.68465,2.09353,1.6436,0.00061952,0.00061952,0.00061952
8,228.92,1.50289,1.8413,1.46152,0.42647,0.31255,0.29436,0.15454,1.73491,2.42505,1.65947,0.000617549,0.000617549,0.000617549
9,256.07,1.49608,1.80556,1.46561,0.49311,0.40926,0.39472,0.21257,1.6815,2.00078,1.56043,0.00061528,0.00061528,0.00061528
10,283.561,1.46545,1.73299,1.45213,0.53974,0.38896,0.41794,0.22476,1.7055,2.13654,1.69215,0.000612716,0.000612716,0.000612716
11,310.99,1.47555,1.70087,1.44613,0.57269,0.45736,0.48321,0.27421,1.5826,1.81655,1.5405,0.000609858,0.000609858,0.000609858
12,338.566,1.45389,1.64567,1.42942,0.56478,0.4295,0.43966,0.24887,1.62576,2.02627,1.62545,0.00060671,0.00060671,0.00060671
13,366.014,1.447,1.60712,1.42595,0.58302,0.42667,0.46322,0.26562,1.62341,1.92604,1.57585,0.000603275,0.000603275,0.000603275
14,393.018,1.42853,1.55484,1.40617,0.57205,0.49756,0.51032,0.29447,1.56943,1.74249,1.53252,0.000599555,0.000599555,0.000599555
15,420.401,1.44542,1.5631,1.4294,0.54332,0.47558,0.47631,0.26242,1.60838,1.79562,1.53524,0.000595556,0.000595556,0.000595556
16,447.487,1.41237,1.51339,1.40635,0.57205,0.45549,0.48304,0.27795,1.59287,1.85856,1.53296,0.00059128,0.00059128,0.00059128
17,474.876,1.41315,1.49167,1.40106,0.55683,0.40083,0.43423,0.24755,1.6668,1.99213,1.61773,0.000586732,0.000586732,0.000586732
18,502.615,1.40274,1.45384,1.39652,0.61487,0.4803,0.5259,0.30665,1.54761,1.68512,1.52949,0.000581917,0.000581917,0.000581917
19,530.261,1.39006,1.44481,1.39089,0.59551,0.47314,0.50259,0.28633,1.58019,1.72265,1.52774,0.000576839,0.000576839,0.000576839
20,557.45,1.40033,1.44063,1.3947,0.65719,0.49028,0.54972,0.31938,1.56753,1.62045,1.51565,0.000571503,0.000571503,0.000571503
21,584.636,1.38538,1.41299,1.38061,0.58816,0.43817,0.46911,0.26474,1.62103,1.77892,1.55608,0.000565915,0.000565915,0.000565915
22,611.993,1.39104,1.40255,1.38719,0.65372,0.50369,0.56651,0.33695,1.51874,1.56949,1.49459,0.000560079,0.000560079,0.000560079
23,639.541,1.37796,1.35425,1.36826,0.63695,0.50728,0.55655,0.32701,1.53583,1.60238,1.52491,0.000554003,0.000554003,0.000554003
24,666.564,1.38644,1.37671,1.37042,0.62233,0.47449,0.52713,0.30821,1.61231,1.7922,1.55481,0.000547691,0.000547691,0.000547691
25,693.549,1.35671,1.34042,1.35249,0.63804,0.49871,0.54791,0.3219,1.53035,1.62573,1.49191,0.00054115,0.00054115,0.00054115
26,720.976,1.38167,1.34823,1.37115,0.58252,0.49552,0.52078,0.30934,1.54728,1.74115,1.51468,0.000534386,0.000534386,0.000534386
27,748.289,1.34812,1.31579,1.35325,0.64652,0.52801,0.57658,0.34017,1.5474,1.65192,1.51239,0.000527407,0.000527407,0.000527407
28,775.746,1.32948,1.26943,1.33217,0.66059,0.50224,0.57309,0.34415,1.5119,1.49397,1.4703,0.000520218,0.000520218,0.000520218
29,802.906,1.33592,1.27677,1.3419,0.6195,0.51329,0.54703,0.32502,1.52055,1.59615,1.48043,0.000512828,0.000512828,0.000512828
30,830.353,1.33405,1.25235,1.33285,0.64406,0.52547,0.55659,0.32567,1.54982,1.56264,1.51376,0.000505243,0.000505243,0.000505243
31,857.866,1.32459,1.24744,1.32819,0.62355,0.5197,0.5627,0.3377,1.50643,1.51999,1.47929,0.000497471,0.000497471,0.000497471
32,885.276,1.31942,1.21894,1.31973,0.64647,0.52142,0.57121,0.34266,1.52008,1.5609,1.49235,0.00048952,0.00048952,0.00048952
33,912.713,1.30785,1.22601,1.31882,0.65739,0.53542,0.58179,0.34448,1.5295,1.49837,1.48648,0.000481396,0.000481396,0.000481396
34,939.912,1.31877,1.20974,1.32092,0.66192,0.52544,0.58745,0.35417,1.49611,1.46176,1.44998,0.00047311,0.00047311,0.00047311
35,966.972,1.31486,1.20837,1.32129,0.64317,0.54306,0.58822,0.35126,1.49578,1.4748,1.45141,0.000464668,0.000464668,0.000464668
36,994.626,1.29931,1.20248,1.31106,0.64782,0.52559,0.58238,0.34516,1.52388,1.45071,1.47576,0.000456078,0.000456078,0.000456078
37,1021.67,1.28658,1.18039,1.29945,0.6565,0.53895,0.58868,0.3491,1.5492,1.53321,1.49224,0.00044735,0.00044735,0.00044735
38,1048.98,1.29623,1.19872,1.31495,0.67156,0.53657,0.59631,0.35893,1.48982,1.44228,1.45582,0.000438493,0.000438493,0.000438493
39,1076.15,1.28414,1.17308,1.30612,0.67082,0.55998,0.60704,0.36447,1.51305,1.46692,1.46694,0.000429514,0.000429514,0.000429514
40,1103.64,1.26736,1.13247,1.29081,0.68153,0.55408,0.61306,0.37038,1.49636,1.41143,1.45422,0.000420422,0.000420422,0.000420422
41,1130.71,1.26474,1.12074,1.28852,0.68679,0.53609,0.59879,0.36019,1.51762,1.50697,1.4941,0.000411227,0.000411227,0.000411227
42,1157.82,1.2617,1.12539,1.28801,0.67548,0.49898,0.56595,0.33888,1.55318,1.62476,1.52111,0.000401938,0.000401938,0.000401938
43,1184.93,1.25317,1.10348,1.27798,0.69105,0.54067,0.61555,0.37282,1.48509,1.44813,1.46328,0.000392563,0.000392563,0.000392563
